GENERIC NAME,DrugBank,KEGG,PubChem,Drugs.com
Ampicillin,https://www.drugbank.ca/drugs/DB00415,http://www.genome.jp/dbget-bin/www_bget?dr:D00204,https://pubchem.ncbi.nlm.nih.gov/substance/46505346#section=Top,http://www.drugs.com/cdi/ampicillin.html
Phenoxymethylpenicillin,https://www.drugbank.ca/drugs/DB00417,http://www.genome.jp/dbget-bin/www_bget?dr:D05411,https://pubchem.ncbi.nlm.nih.gov/substance/46507164#section=Top,http://www.drugs.com/penicillin.html
Secobarbital,https://www.drugbank.ca/drugs/DB00418,http://www.genome.jp/dbget-bin/www_bget?dr:D00430,https://pubchem.ncbi.nlm.nih.gov/substance/46508708#section=Top,http://www.drugs.com/cdi/secobarbital.html
Miglustat,https://www.drugbank.ca/drugs/DB00419,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506350#section=Top,http://www.drugs.com/cdi/miglustat.html
Promazine,https://www.drugbank.ca/drugs/DB00420,http://www.genome.jp/dbget-bin/www_bget?dr:D08430,https://pubchem.ncbi.nlm.nih.gov/substance/46504504#section=Top,
Spironolactone,https://www.drugbank.ca/drugs/DB00421,http://www.genome.jp/dbget-bin/www_bget?dr:D00443,https://pubchem.ncbi.nlm.nih.gov/substance/46508525#section=Top,http://www.drugs.com/spironolactone.html
Methylphenidate,https://www.drugbank.ca/drugs/DB00422,http://www.genome.jp/dbget-bin/www_bget?dr:D04999,https://pubchem.ncbi.nlm.nih.gov/substance/46505929#section=Top,http://www.drugs.com/methylphenidate.html
Methocarbamol,https://www.drugbank.ca/drugs/DB00423,http://www.genome.jp/dbget-bin/www_bget?dr:D00402,https://pubchem.ncbi.nlm.nih.gov/substance/46507761#section=Top,http://www.drugs.com/methocarbamol.html
Hyoscyamine,https://www.drugbank.ca/drugs/DB00424,http://www.genome.jp/dbget-bin/www_bget?dr:D00147,https://pubchem.ncbi.nlm.nih.gov/substance/46507345#section=Top,http://www.drugs.com/cdi/hyoscyamine.html
Zolpidem,https://www.drugbank.ca/drugs/DB00425,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507949#section=Top,http://www.drugs.com/zolpidem.html
Famciclovir,https://www.drugbank.ca/drugs/DB00426,http://www.genome.jp/dbget-bin/www_bget?dr:D00317,https://pubchem.ncbi.nlm.nih.gov/substance/46507561#section=Top,http://www.drugs.com/cdi/famciclovir.html
Triprolidine,https://www.drugbank.ca/drugs/DB00427,http://www.genome.jp/dbget-bin/www_bget?dr:D01782,https://pubchem.ncbi.nlm.nih.gov/substance/46505403#section=Top,http://www.drugs.com/cdi/triprolidine-suspension.html
Streptozocin,https://www.drugbank.ca/drugs/DB00428,http://www.genome.jp/dbget-bin/www_bget?dr:D05932,https://pubchem.ncbi.nlm.nih.gov/substance/46508872#section=Top,http://www.drugs.com/cdi/streptozocin.html
Carboprost Tromethamine,https://www.drugbank.ca/drugs/DB00429,http://www.genome.jp/dbget-bin/www_bget?dr:D00682,https://pubchem.ncbi.nlm.nih.gov/substance/46508118#section=Top,http://www.drugs.com/mtm/carboprost.html
Cefpiramide,https://www.drugbank.ca/drugs/DB00430,http://www.genome.jp/dbget-bin/www_bget?dr:D01904,https://pubchem.ncbi.nlm.nih.gov/substance/46505548#section=Top,
Lindane,https://www.drugbank.ca/drugs/DB00431,http://www.genome.jp/dbget-bin/www_bget?dr:D00360,https://pubchem.ncbi.nlm.nih.gov/substance/46508542#section=Top,http://www.drugs.com/cdi/lindane-lotion.html
Trifluridine,https://www.drugbank.ca/drugs/DB00432,http://www.genome.jp/dbget-bin/www_bget?dr:D00391,https://pubchem.ncbi.nlm.nih.gov/substance/46506192#section=Top,http://www.drugs.com/cdi/trifluridine-drops.html
Prochlorperazine,https://www.drugbank.ca/drugs/DB00433,http://www.genome.jp/dbget-bin/www_bget?dr:D00493,https://pubchem.ncbi.nlm.nih.gov/substance/46509018#section=Top,http://www.drugs.com/cdi/prochlorperazine.html
Cyproheptadine,https://www.drugbank.ca/drugs/DB00434,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508613#section=Top,http://www.drugs.com/cdi/cyproheptadine.html
Bendroflumethiazide,https://www.drugbank.ca/drugs/DB00436,http://www.genome.jp/dbget-bin/www_bget?dr:D00650,https://pubchem.ncbi.nlm.nih.gov/substance/46508672#section=Top,http://www.drugs.com/cdi/bendroflumethiazide.html
Allopurinol,https://www.drugbank.ca/drugs/DB00437,http://www.genome.jp/dbget-bin/www_bget?dr:D00224,https://pubchem.ncbi.nlm.nih.gov/substance/46508516#section=Top,http://www.drugs.com/allopurinol.html
Ceftazidime,https://www.drugbank.ca/drugs/DB00438,http://www.genome.jp/dbget-bin/www_bget?dr:D07654,https://pubchem.ncbi.nlm.nih.gov/substance/46506143#section=Top,http://www.drugs.com/cdi/ceftazidime.html
Trimethoprim,https://www.drugbank.ca/drugs/DB00440,http://www.genome.jp/dbget-bin/www_bget?dr:D00145,https://pubchem.ncbi.nlm.nih.gov/substance/46507125#section=Top,http://www.drugs.com/cdi/trimethoprim.html
Gemcitabine,https://www.drugbank.ca/drugs/DB00441,http://www.genome.jp/dbget-bin/www_bget?dr:D02368,https://pubchem.ncbi.nlm.nih.gov/substance/46506425#section=Top,http://www.drugs.com/cdi/gemcitabine.html
Entecavir,https://www.drugbank.ca/drugs/DB00442,http://www.genome.jp/dbget-bin/www_bget?dr:D04008,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/entecavir.html
Betamethasone,https://www.drugbank.ca/drugs/DB00443,http://www.genome.jp/dbget-bin/www_bget?dr:D00244,https://pubchem.ncbi.nlm.nih.gov/substance/46505155#section=Top,http://www.drugs.com/cdi/betamethasone.html
Teniposide,https://www.drugbank.ca/drugs/DB00444,http://www.genome.jp/dbget-bin/www_bget?dr:D02698,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/teniposide.html
Epirubicin,https://www.drugbank.ca/drugs/DB00445,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507282#section=Top,http://www.drugs.com/cdi/epirubicin.html
Chloramphenicol,https://www.drugbank.ca/drugs/DB00446,http://www.genome.jp/dbget-bin/www_bget?dr:D00104,https://pubchem.ncbi.nlm.nih.gov/substance/46505318#section=Top,http://www.drugs.com/mtm/chloramphenicol-ophthalmic.html
Lansoprazole,https://www.drugbank.ca/drugs/DB00448,http://www.genome.jp/dbget-bin/www_bget?dr:D00355,https://pubchem.ncbi.nlm.nih.gov/substance/46508975#section=Top,http://www.drugs.com/lansoprazole.html
Dipivefrin,https://www.drugbank.ca/drugs/DB00449,http://www.genome.jp/dbget-bin/www_bget?dr:D02349,https://pubchem.ncbi.nlm.nih.gov/substance/46504716#section=Top,http://www.drugs.com/cdi/dipivefrin.html
Droperidol,https://www.drugbank.ca/drugs/DB00450,http://www.genome.jp/dbget-bin/www_bget?dr:D00308,https://pubchem.ncbi.nlm.nih.gov/substance/46505291#section=Top,http://www.drugs.com/cdi/droperidol.html
Levothyroxine,https://www.drugbank.ca/drugs/DB00451,http://www.genome.jp/dbget-bin/www_bget?dr:D08125,https://pubchem.ncbi.nlm.nih.gov/substance/46507672#section=Top,http://www.drugs.com/levothyroxine.html
Framycetin,https://www.drugbank.ca/drugs/DB00452,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508892#section=Top,
Clomocycline,https://www.drugbank.ca/drugs/DB00453,http://www.genome.jp/dbget-bin/www_bget?dr:D06885,https://pubchem.ncbi.nlm.nih.gov/substance/46505301#section=Top,
Pethidine,https://www.drugbank.ca/drugs/DB00454,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506899#section=Top,http://www.drugs.com/cdi/meperidine.html
Loratadine,https://www.drugbank.ca/drugs/DB00455,http://www.genome.jp/dbget-bin/www_bget?dr:D00364,https://pubchem.ncbi.nlm.nih.gov/substance/46507853#section=Top,http://www.drugs.com/cdi/loratadine.html
Cefalotin,https://www.drugbank.ca/drugs/DB00456,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46509079#section=Top,
Prazosin,https://www.drugbank.ca/drugs/DB00457,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508594#section=Top,http://www.drugs.com/cdi/prazosin.html
Imipramine,https://www.drugbank.ca/drugs/DB00458,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507351#section=Top,http://www.drugs.com/cdi/imipramine.html
Acitretin,https://www.drugbank.ca/drugs/DB00459,http://www.genome.jp/dbget-bin/www_bget?dr:D02754,https://pubchem.ncbi.nlm.nih.gov/substance/46509178#section=Top,http://www.drugs.com/cdi/acitretin.html
Verteporfin,https://www.drugbank.ca/drugs/DB00460,http://www.genome.jp/dbget-bin/www_bget?dr:D01162,https://pubchem.ncbi.nlm.nih.gov/substance/46506236#section=Top,http://www.drugs.com/cdi/verteporfin.html
Nabumetone,https://www.drugbank.ca/drugs/DB00461,http://www.genome.jp/dbget-bin/www_bget?dr:D00425,https://pubchem.ncbi.nlm.nih.gov/substance/46507729#section=Top,http://www.drugs.com/cdi/nabumetone.html
Methylscopolamine bromide,https://www.drugbank.ca/drugs/DB00462,http://www.genome.jp/dbget-bin/www_bget?dr:D00715,https://pubchem.ncbi.nlm.nih.gov/substance/46506260#section=Top,
Sodium Tetradecyl Sulfate,https://www.drugbank.ca/drugs/DB00464,http://www.genome.jp/dbget-bin/www_bget?dr:D06882,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/sodium-tetradecyl-sulfate.html
Ketorolac,https://www.drugbank.ca/drugs/DB00465,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507019#section=Top,http://www.drugs.com/cdi/ketorolac-drops.html
Enoxacin,https://www.drugbank.ca/drugs/DB00467,http://www.genome.jp/dbget-bin/www_bget?dr:D00310,https://pubchem.ncbi.nlm.nih.gov/substance/46507505#section=Top,http://www.drugs.com/mtm/enoxacin.html
Quinine,https://www.drugbank.ca/drugs/DB00468,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507493#section=Top,http://www.drugs.com/cdi/quinine.html
Tenoxicam,https://www.drugbank.ca/drugs/DB00469,http://www.genome.jp/dbget-bin/www_bget?dr:D01767,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Dronabinol,https://www.drugbank.ca/drugs/DB00470,http://www.genome.jp/dbget-bin/www_bget?dr:D00306,https://pubchem.ncbi.nlm.nih.gov/substance/46508472#section=Top,
Montelukast,https://www.drugbank.ca/drugs/DB00471,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505585#section=Top,http://www.drugs.com/cdi/montelukast.html
Fluoxetine,https://www.drugbank.ca/drugs/DB00472,http://www.genome.jp/dbget-bin/www_bget?dr:D00823,https://pubchem.ncbi.nlm.nih.gov/substance/46507902#section=Top,http://www.drugs.com/fluoxetine.html
Hexylcaine,https://www.drugbank.ca/drugs/DB00473,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506241#section=Top,
Methohexital,https://www.drugbank.ca/drugs/DB00474,http://www.genome.jp/dbget-bin/www_bget?dr:D04985,https://pubchem.ncbi.nlm.nih.gov/substance/46507954#section=Top,http://www.drugs.com/cdi/methohexital.html
Chlordiazepoxide,https://www.drugbank.ca/drugs/DB00475,http://www.genome.jp/dbget-bin/www_bget?dr:D00267,https://pubchem.ncbi.nlm.nih.gov/substance/46505044#section=Top,http://www.drugs.com/cdi/chlordiazepoxide.html
Duloxetine,https://www.drugbank.ca/drugs/DB00476,http://www.genome.jp/dbget-bin/www_bget?dr:D01179,https://pubchem.ncbi.nlm.nih.gov/substance/46507937#section=Top,http://www.drugs.com/cdi/duloxetine-delayed-release-capsules.html
Chlorpromazine,https://www.drugbank.ca/drugs/DB00477,http://www.genome.jp/dbget-bin/www_bget?dr:D00270,https://pubchem.ncbi.nlm.nih.gov/substance/46508395#section=Top,http://www.drugs.com/cdi/chlorpromazine.html
Rimantadine,https://www.drugbank.ca/drugs/DB00478,http://www.genome.jp/dbget-bin/www_bget?dr:D08483,https://pubchem.ncbi.nlm.nih.gov/substance/46505973#section=Top,http://www.drugs.com/cdi/rimantadine.html
Amikacin,https://www.drugbank.ca/drugs/DB00479,http://www.genome.jp/dbget-bin/www_bget?dr:D02543,https://pubchem.ncbi.nlm.nih.gov/substance/46506386#section=Top,http://www.drugs.com/cdi/amikacin.html
Lenalidomide,https://www.drugbank.ca/drugs/DB00480,http://www.genome.jp/dbget-bin/www_bget?dr:D04687,https://pubchem.ncbi.nlm.nih.gov/substance/46505725#section=Top,http://www.drugs.com/cdi/lenalidomide.html
Raloxifene,https://www.drugbank.ca/drugs/DB00481,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506514#section=Top,http://www.drugs.com/cdi/raloxifene.html
Celecoxib,https://www.drugbank.ca/drugs/DB00482,http://www.genome.jp/dbget-bin/www_bget?dr:D00567,https://pubchem.ncbi.nlm.nih.gov/substance/46505596#section=Top,http://www.drugs.com/celecoxib.html
Gallamine Triethiodide,https://www.drugbank.ca/drugs/DB00483,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508651#section=Top,
Brimonidine,https://www.drugbank.ca/drugs/DB00484,http://www.genome.jp/dbget-bin/www_bget?dr:D02076,https://pubchem.ncbi.nlm.nih.gov/substance/46507305#section=Top,http://www.drugs.com/cdi/brimonidine.html
Dicloxacillin,https://www.drugbank.ca/drugs/DB00485,http://www.genome.jp/dbget-bin/www_bget?dr:D02348,https://pubchem.ncbi.nlm.nih.gov/substance/46508182#section=Top,http://www.drugs.com/cdi/dicloxacillin.html
Nabilone,https://www.drugbank.ca/drugs/DB00486,http://www.genome.jp/dbget-bin/www_bget?dr:D05099,https://pubchem.ncbi.nlm.nih.gov/substance/46505171#section=Top,http://www.drugs.com/cdi/nabilone.html
Pefloxacin,https://www.drugbank.ca/drugs/DB00487,http://www.genome.jp/dbget-bin/www_bget?dr:D02306,https://pubchem.ncbi.nlm.nih.gov/substance/46507338#section=Top,
Altretamine,https://www.drugbank.ca/drugs/DB00488,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505760#section=Top,http://www.drugs.com/cdi/altretamine.html
Sotalol,https://www.drugbank.ca/drugs/DB00489,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505012#section=Top,http://www.drugs.com/cdi/sotalol.html
Buspirone,https://www.drugbank.ca/drugs/DB00490,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508113#section=Top,http://www.drugs.com/buspirone.html
Miglitol,https://www.drugbank.ca/drugs/DB00491,http://www.genome.jp/dbget-bin/www_bget?dr:D00625,https://pubchem.ncbi.nlm.nih.gov/substance/46504492#section=Top,http://www.drugs.com/cdi/miglitol.html
Fosinopril,https://www.drugbank.ca/drugs/DB00492,http://www.genome.jp/dbget-bin/www_bget?dr:D00622,https://pubchem.ncbi.nlm.nih.gov/substance/46506495#section=Top,http://www.drugs.com/cdi/fosinopril.html
Cefotaxime,https://www.drugbank.ca/drugs/DB00493,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506911#section=Top,http://www.drugs.com/cdi/cefotaxime.html
Entacapone,https://www.drugbank.ca/drugs/DB00494,http://www.genome.jp/dbget-bin/www_bget?dr:D00781,https://pubchem.ncbi.nlm.nih.gov/substance/46508734#section=Top,http://www.drugs.com/cdi/entacapone.html
Zidovudine,https://www.drugbank.ca/drugs/DB00495,http://www.genome.jp/dbget-bin/www_bget?dr:D00413,https://pubchem.ncbi.nlm.nih.gov/substance/46508240#section=Top,http://www.drugs.com/cdi/zidovudine.html
Darifenacin,https://www.drugbank.ca/drugs/DB00496,http://www.genome.jp/dbget-bin/www_bget?dr:D01699,https://pubchem.ncbi.nlm.nih.gov/substance/46508104#section=Top,http://www.drugs.com/cdi/darifenacin-extended-release-tablets.html
Oxycodone,https://www.drugbank.ca/drugs/DB00497,http://www.genome.jp/dbget-bin/www_bget?dr:D05312,https://pubchem.ncbi.nlm.nih.gov/substance/46508908#section=Top,http://www.drugs.com/oxycodone.html
Phenindione,https://www.drugbank.ca/drugs/DB00498,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505018#section=Top,
Flutamide,https://www.drugbank.ca/drugs/DB00499,http://www.genome.jp/dbget-bin/www_bget?dr:D00586,https://pubchem.ncbi.nlm.nih.gov/substance/46508874#section=Top,http://www.drugs.com/cdi/flutamide.html
Tolmetin,https://www.drugbank.ca/drugs/DB00500,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507060#section=Top,http://www.drugs.com/cdi/tolmetin.html
Cimetidine,https://www.drugbank.ca/drugs/DB00501,http://www.genome.jp/dbget-bin/www_bget?dr:D00295,https://pubchem.ncbi.nlm.nih.gov/substance/46505360#section=Top,http://www.drugs.com/cdi/cimetidine.html
Haloperidol,https://www.drugbank.ca/drugs/DB00502,http://www.genome.jp/dbget-bin/www_bget?dr:D00136,https://pubchem.ncbi.nlm.nih.gov/substance/46508794#section=Top,http://www.drugs.com/cdi/haloperidol.html
Ritonavir,https://www.drugbank.ca/drugs/DB00503,http://www.genome.jp/dbget-bin/www_bget?dr:D00427,https://pubchem.ncbi.nlm.nih.gov/substance/46505050#section=Top,http://www.drugs.com/cdi/ritonavir.html
Levallorphan,https://www.drugbank.ca/drugs/DB00504,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505682#section=Top,
Nitazoxanide,https://www.drugbank.ca/drugs/DB00507,http://www.genome.jp/dbget-bin/www_bget?dr:D02486,https://pubchem.ncbi.nlm.nih.gov/substance/46507813#section=Top,http://www.drugs.com/cdi/nitazoxanide.html
Triflupromazine,https://www.drugbank.ca/drugs/DB00508,http://www.genome.jp/dbget-bin/www_bget?dr:D00390,https://pubchem.ncbi.nlm.nih.gov/substance/46507344#section=Top,
Dextrothyroxine,https://www.drugbank.ca/drugs/DB00509,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508471#section=Top,
Acetyldigitoxin,https://www.drugbank.ca/drugs/DB00511,http://www.genome.jp/dbget-bin/www_bget?dr:D06881,https://pubchem.ncbi.nlm.nih.gov/substance/46507229#section=Top,
Vancomycin,https://www.drugbank.ca/drugs/DB00512,http://www.genome.jp/dbget-bin/www_bget?dr:D00212,https://pubchem.ncbi.nlm.nih.gov/substance/46505261#section=Top,http://www.drugs.com/vancomycin.html
Aminocaproic Acid,https://www.drugbank.ca/drugs/DB00513,http://www.genome.jp/dbget-bin/www_bget?dr:D00160,https://pubchem.ncbi.nlm.nih.gov/substance/46506934#section=Top,http://www.drugs.com/cdi/aminocaproic-acid.html
Dextromethorphan,https://www.drugbank.ca/drugs/DB00514,http://www.genome.jp/dbget-bin/www_bget?dr:D03742,https://pubchem.ncbi.nlm.nih.gov/substance/46506530#section=Top,http://www.drugs.com/dextromethorphan.html
Anisotropine Methylbromide,https://www.drugbank.ca/drugs/DB00517,http://www.genome.jp/dbget-bin/www_bget?dr:D00232,https://pubchem.ncbi.nlm.nih.gov/substance/46504810#section=Top,
Albendazole,https://www.drugbank.ca/drugs/DB00518,http://www.genome.jp/dbget-bin/www_bget?dr:D00134,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/albendazole.html
Trandolapril,https://www.drugbank.ca/drugs/DB00519,http://www.genome.jp/dbget-bin/www_bget?dr:D00383,https://pubchem.ncbi.nlm.nih.gov/substance/46508300#section=Top,http://www.drugs.com/cdi/trandolapril.html
Caspofungin,https://www.drugbank.ca/drugs/DB00520,http://www.genome.jp/dbget-bin/www_bget?dr:D07626,https://pubchem.ncbi.nlm.nih.gov/substance/46508288#section=Top,http://www.drugs.com/cdi/caspofungin.html
Carteolol,https://www.drugbank.ca/drugs/DB00521,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507513#section=Top,http://www.drugs.com/cdi/carteolol-drops.html
Alitretinoin,https://www.drugbank.ca/drugs/DB00523,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507356#section=Top,http://www.drugs.com/cdi/alitretinoin.html
Metolazone,https://www.drugbank.ca/drugs/DB00524,http://www.genome.jp/dbget-bin/www_bget?dr:D00431,https://pubchem.ncbi.nlm.nih.gov/substance/46509058#section=Top,http://www.drugs.com/cdi/metolazone.html
Tolnaftate,https://www.drugbank.ca/drugs/DB00525,http://www.genome.jp/dbget-bin/www_bget?dr:D00381,https://pubchem.ncbi.nlm.nih.gov/substance/46505456#section=Top,http://www.drugs.com/cdi/tolnaftate-cream.html
Cinchocaine,https://www.drugbank.ca/drugs/DB00527,http://www.genome.jp/dbget-bin/www_bget?dr:D00733,https://pubchem.ncbi.nlm.nih.gov/substance/46506734#section=Top,http://www.drugs.com/cdi/dibucaine-ointment.html
Lercanidipine,https://www.drugbank.ca/drugs/DB00528,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508865#section=Top,
Foscarnet,https://www.drugbank.ca/drugs/DB00529,http://www.genome.jp/dbget-bin/www_bget?dr:D00579,https://pubchem.ncbi.nlm.nih.gov/substance/46507873#section=Top,http://www.drugs.com/cdi/foscarnet.html
Erlotinib,https://www.drugbank.ca/drugs/DB00530,http://www.genome.jp/dbget-bin/www_bget?dr:D07907,https://pubchem.ncbi.nlm.nih.gov/substance/46508021#section=Top,http://www.drugs.com/cdi/erlotinib.html
Cyclophosphamide,https://www.drugbank.ca/drugs/DB00531,http://www.genome.jp/dbget-bin/www_bget?dr:D07760,https://pubchem.ncbi.nlm.nih.gov/substance/46505441#section=Top,http://www.drugs.com/cdi/cyclophosphamide.html
Chlormerodrin,https://www.drugbank.ca/drugs/DB00534,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46504793#section=Top,
Cefdinir,https://www.drugbank.ca/drugs/DB00535,http://www.genome.jp/dbget-bin/www_bget?dr:D00917,https://pubchem.ncbi.nlm.nih.gov/substance/46505573#section=Top,http://www.drugs.com/cdi/cefdinir.html
Guanidine,https://www.drugbank.ca/drugs/DB00536,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507543#section=Top,http://www.drugs.com/mtm/guanidine.html
Ciprofloxacin,https://www.drugbank.ca/drugs/DB00537,http://www.genome.jp/dbget-bin/www_bget?dr:D00186,https://pubchem.ncbi.nlm.nih.gov/substance/46504733#section=Top,http://www.drugs.com/cdi/ciprofloxacin-drops.html
Gadoversetamide,https://www.drugbank.ca/drugs/DB00538,http://www.genome.jp/dbget-bin/www_bget?dr:D01646,https://pubchem.ncbi.nlm.nih.gov/substance/46504481#section=Top,
Toremifene,https://www.drugbank.ca/drugs/DB00539,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506087#section=Top,http://www.drugs.com/cdi/toremifene.html
Nortriptyline,https://www.drugbank.ca/drugs/DB00540,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507783#section=Top,http://www.drugs.com/nortriptyline.html
Vincristine,https://www.drugbank.ca/drugs/DB00541,http://www.genome.jp/dbget-bin/www_bget?dr:D08679,https://pubchem.ncbi.nlm.nih.gov/substance/46507033#section=Top,http://www.drugs.com/cdi/vincristine.html
Benazepril,https://www.drugbank.ca/drugs/DB00542,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507884#section=Top,http://www.drugs.com/cdi/benazepril.html
Amoxapine,https://www.drugbank.ca/drugs/DB00543,http://www.genome.jp/dbget-bin/www_bget?dr:D00228,https://pubchem.ncbi.nlm.nih.gov/substance/46509117#section=Top,http://www.drugs.com/cdi/amoxapine.html
Fluorouracil,https://www.drugbank.ca/drugs/DB00544,http://www.genome.jp/dbget-bin/www_bget?dr:D00584,https://pubchem.ncbi.nlm.nih.gov/substance/46508557#section=Top,http://www.drugs.com/cdi/fluorouracil.html
Pyridostigmine,https://www.drugbank.ca/drugs/DB00545,http://www.genome.jp/dbget-bin/www_bget?dr:D00487,https://pubchem.ncbi.nlm.nih.gov/substance/46506129#section=Top,http://www.drugs.com/cdi/pyridostigmine.html
Adinazolam,https://www.drugbank.ca/drugs/DB00546,http://www.genome.jp/dbget-bin/www_bget?dr:D02770,https://pubchem.ncbi.nlm.nih.gov/substance/46509054#section=Top,
Desoximetasone,https://www.drugbank.ca/drugs/DB00547,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506793#section=Top,http://www.drugs.com/cdi/desoximetasone-cream.html
Azelaic Acid,https://www.drugbank.ca/drugs/DB00548,http://www.genome.jp/dbget-bin/www_bget?dr:D03034,https://pubchem.ncbi.nlm.nih.gov/substance/46506284#section=Top,http://www.drugs.com/cdi/azelaic-acid-cream.html
Zafirlukast,https://www.drugbank.ca/drugs/DB00549,http://www.genome.jp/dbget-bin/www_bget?dr:D00411,https://pubchem.ncbi.nlm.nih.gov/substance/46506874#section=Top,http://www.drugs.com/cdi/zafirlukast.html
Propylthiouracil,https://www.drugbank.ca/drugs/DB00550,http://www.genome.jp/dbget-bin/www_bget?dr:D00562,https://pubchem.ncbi.nlm.nih.gov/substance/46505181#section=Top,http://www.drugs.com/cdi/propylthiouracil.html
Acetohydroxamic Acid,https://www.drugbank.ca/drugs/DB00551,http://www.genome.jp/dbget-bin/www_bget?dr:D00220,https://pubchem.ncbi.nlm.nih.gov/substance/46508546#section=Top,http://www.drugs.com/cdi/acetohydroxamic-acid.html
Pentostatin,https://www.drugbank.ca/drugs/DB00552,http://www.genome.jp/dbget-bin/www_bget?dr:D00155,https://pubchem.ncbi.nlm.nih.gov/substance/46507116#section=Top,http://www.drugs.com/cdi/pentostatin.html
Methoxsalen,https://www.drugbank.ca/drugs/DB00553,http://www.genome.jp/dbget-bin/www_bget?dr:D00139,https://pubchem.ncbi.nlm.nih.gov/substance/46506275#section=Top,http://www.drugs.com/cdi/methoxsalen-hard-gelatin-capsules.html
Piroxicam,https://www.drugbank.ca/drugs/DB00554,http://www.genome.jp/dbget-bin/www_bget?dr:D00127,https://pubchem.ncbi.nlm.nih.gov/substance/46505225#section=Top,http://www.drugs.com/cdi/piroxicam.html
Lamotrigine,https://www.drugbank.ca/drugs/DB00555,http://www.genome.jp/dbget-bin/www_bget?dr:D00354,https://pubchem.ncbi.nlm.nih.gov/substance/46505408#section=Top,http://www.drugs.com/cdi/lamotrigine.html
